time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust,dealer,foreign,"K(9,3)","D(9,3)",J,DIF12-26,MACD9,OSC,volume,MA5,MA10,financing,financing_difference,tomorrow,percentage
2019/11/13,11483.24,11509.37,11439.09,11467.83,11509.92,11487.85,11093.09,10891.73,11698.09,11396.07,11094.05,-3184,-1602,41038,0.5603,0.6963,0.2884,140.63,151.76,-11.13,1166.77,1346.78,1442.8,1418,7.01,11450.42,-0.004560617
2019/11/14,11488.74,11498.25,11424.77,11450.42,11495.13,11483.79,11105.3,10901.21,11696.23,11409.25,11122.26,-3181,-1610,41081,0.4259,0.6061,0.0654,129.24,147.26,-18.02,1322.13,1327.91,1418.93,1408,-9.5,11525.6,-0.00151816
2019/11/15,11485.46,11552.25,11485.46,11525.6,11500.82,11488.96,11118.64,10911.31,11697.41,11426.51,11155.62,-3178,-1605,41123,0.4333,0.5485,0.2028,124.14,142.63,-18.5,1319.45,1308.62,1413.42,1405,-3.58,11599.78,0.006565698
2019/11/18,11543.8,11599.78,11532.97,11599.78,11523.57,11503.53,11133.41,10922.18,11704.03,11447.3,11190.56,-3166,-1606,41153,0.5339,0.5437,0.5145,123.58,138.82,-15.25,1098.66,1220.53,1364.79,1405,-3531,11656.4,0.006436107
2019/11/19,11608.48,11656.4,11576.79,11656.4,11557.22,11525.52,11149.51,10933.79,11725.35,11466.55,11207.76,-3162,-1597,41263,0.6893,0.5922,0.8835,125.99,136.26,-10.27,1236.21,1228.65,1332.2,1400,-4.54,11631.2,0.004881127
2019/11/20,11645.73,11649.07,11591.73,11631.2,11581.29,11544.42,11165.25,10945.29,11732.24,11486.13,11240.02,-3162,-1634,41273,0.7588,0.6477,0.9809,125.59,134.12,-8.53,1182.74,1231.84,1289.31,1399,-7683,11558.27,-0.002161902
2019/11/21,11573.84,11573.84,11478.43,11558.27,11569.56,11544.72,11177.74,10955.22,11733.69,11498.04,11262.38,-3157,-1650,41175,0.7065,0.6673,0.7849,117.18,130.73,-13.56,1218.73,1211.16,1269.54,1399,-3930,11566.8,-0.006270204
2019/11/22,11556.75,11577.02,11534.15,11566.8,11565.93,11547.26,11190.23,10965.2,11729.73,11511.57,11293.42,-3161,-1655,41173,0.6754,0.67,0.6862,110.77,126.74,-15.97,1094.57,1166.18,1237.4,1399,5454,11561.58,0.000738
2019/11/25,11590.81,11604.75,11559.33,11561.58,11570.33,11553.05,11202.98,10975.34,11723.29,11523.9,11324.51,-3163,-1657,41188,0.6472,0.6624,0.6167,105.33,122.46,-17.13,1135.33,1173.52,1197.02,1402,2.33,11576.82,-0.000451292
2019/11/26,11608.37,11642.96,11576.82,11576.82,11580.63,11561.81,11216.03,10985.69,11716.34,11536.05,11355.75,-3162,-1653,41192,0.6502,0.6584,0.634,101.59,118.28,-16.7,2019.68,1330.21,1279.43,1399,-2.94,11647.46,0.001318159
