time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error,tomorrow,percentage
2016/7/21,9010.22,9075.89,9009.79,9056.56,8981.09,8904.72,8619.41,8537.51,9130.06,8760.6,8391.13,-1,-2916,15224,160,40996,9,-875,1006.48,975.85,932.59,1307,-3,9013.14,0.005426481
2016/7/22,9055.17,9060.15,9004.24,9013.14,8998.45,8928.08,8632.98,8545.7,9160.46,8777.42,8394.38,1,-2915,15232,52,41048,-16,-891,820.46,934.63,950.72,1315,8,8991.67,-0.004794315
2016/7/25,9030.36,9085.91,8916.05,8991.67,9000.97,8942.25,8645.21,8553.31,9170.85,8803.15,8435.46,5,-2910,15245,59,41107,-13,-904,776,902.89,928.96,1314,-1,9024.79,-0.002382078
2016/7/26,8983.55,9024.79,8960.48,9024.79,9000.11,8952.46,8656.79,8560.66,9175.13,8831.45,8487.77,-1,-2911,15302,118,41225,3,-901,764.43,863.21,907.11,1314,0,9063.39,0.003683409
2016/7/27,9058.19,9084.9,9042.14,9063.39,9020.79,8972.4,8670.08,8568.95,9182.63,8859.34,8536.06,1,-2910,15348,111,41336,-8,-909,964.41,866.35,905.12,1315,1,9076.64,0.004277108
2016/7/28,9060.48,9081.4,9015.35,9076.64,9033.35,8988.05,8682.81,8577.04,9194.77,8883.85,8572.93,-2,-2912,15389,97,41433,-12,-921,887.51,842.56,909.21,1314,-1,8984.41,0.001461925
2016/7/29,9066.37,9071.51,8984.41,8984.41,9031.13,8995.07,8694.09,8584.48,9196.8,8899.74,8602.68,-3,-2915,15348,-13,41420,-8,-929,797.91,838.05,886.34,1320,6,9080.71,-0.010161249
2016/8/1,9008.74,9080.71,9008.74,9080.71,9035.66,9004.1,8705.58,8592.08,9214.19,8916.86,8619.53,4,-2911,15408,125,41545,-15,-944,788.04,840.46,871.67,1319,-1,9068.76,0.010718567
2016/8/2,9081.06,9086.42,9052.71,9068.76,9047.85,9016.49,8717.61,8600.02,9227.54,8932.27,8637,-3,-2914,15411,36,41581,-8,-952,740.1,835.59,849.4,1324,5,9001.71,-0.001315976
2016/8/3,9000.82,9033.95,8948.4,9001.71,9030.64,9012.8,8726.74,8606.57,9225.81,8946.55,8667.3,-3,-2917,15385,-26,41555,-4,-956,707.71,784.26,825.3,1332,8,9024.71,-0.007393514
2016/8/4,9009.29,9035.25,8972.31,9024.71,9023.89,9012.36,8736.04,8613.24,9191.92,8969,8746.09,-3,-2920,15385,18,41573,-21,-977,744.18,755.59,799.08,1337,5,9092.12,0.00255507
2016/8/5,9025.76,9101.71,9023.23,9092.12,9036.16,9021.15,8746.68,8620.64,9162.32,8991.56,8820.81,-4,-2924,15447,120,41693,-23,-1000,842.43,764.49,801.27,1338,1,9150.26,0.007469492
2016/8/8,9123.07,9153.99,9104.43,9150.26,9068.42,9041.48,8759.35,8629.11,9166.15,9009.75,8853.36,2,-2922,15490,57,41750,-1,-1001,834,773.69,807.07,1342,4,9155.08,0.006394548
2016/8/9,9154,9168.34,9127.63,9155.08,9096.03,9061.44,8772.2,8637.74,9173.88,9025.43,8876.99,-5,-2927,15523,66,41816,-22,-1023,798.59,785.39,810.49,1340,-2,9200.42,0.000526761
2016/8/10,9160.94,9200.42,9131.63,9200.42,9121.81,9081.79,8785.35,8646.59,9188.72,9042.57,8896.41,0,-2927,15567,69,41885,-11,-1034,805.99,805.04,794.65,1342,2,9131.83,0.004952442
2016/8/11,9168.7,9187.18,9063.81,9131.83,9127.16,9091.99,8796.91,8654.71,9182.49,9055.84,8929.19,-5,-2932,15596,42,41927,-16,-1050,935.6,843.32,799.46,1333,-9,9150.39,-0.007455094
2016/8/12,9135.34,9173.72,9135.34,9150.39,9134.34,9102.3,8808.44,8662.88,9189.07,9065.87,8942.66,-10,-2942,15617,46,41973,5,-1045,884.42,851.72,808.11,1333,0,9148.51,0.002032451
2016/8/15,9152.36,9162.02,9117.26,9148.51,9137.91,9110.07,8819.48,8670.85,9198.12,9072.88,8947.65,1,-2941,15669,34,42007,22,-1023,798.93,844.71,809.2,1326,-7,9110.36,-0.000205456
2016/8/16,9146.09,9165.58,9082.34,9110.36,9133.97,9112.98,8829.53,8678.37,9201.63,9076.66,8951.68,-1,-2942,15644,-4,42003,-28,-1051,848.71,854.73,820.06,1334,8,9117.7,-0.004170078
2016/8/17,9121.18,9133.07,9073.27,9117.7,9126.41,9112.68,8838.77,8685.53,9204.15,9082.16,8960.16,-1,-2943,15639,37,42040,-33,-1084,812.45,856.02,830.53,1339,5,9122.5,0.000805676
2016/8/18,9104.88,9128.8,9093.51,9122.5,9121.75,9112.63,8847.74,8692.58,9208.07,9085.46,8962.84,-1,-2944,15655,46,42086,2,-1082,793.16,827.54,835.43,1338,-1,9034.27,0.000526449
2016/8/19,9139.69,9175.13,9034.27,9034.27,9113.11,9109.58,8855.88,8699.25,9206.96,9086.51,8966.07,-10,-2954,15613,-38,42048,-6,-1088,837.81,818.21,834.97,1343,5,8981.81,-0.009671691
2016/8/22,9004.68,9012.72,8928.33,8981.81,9069.37,9086.36,8860.01,8703.92,9208.08,9086.02,8963.95,-10,-2964,15592,-26,42022,9,-1079,694.51,797.33,821.02,1342,-1,9030.93,-0.005806778
2016/8/23,8987.07,9046.3,8986.76,9030.93,9050.5,9072.98,8865.02,8709.02,9207.8,9086.33,8964.85,-4,-2968,15596,-1,42021,16,-1063,669.02,761.39,808.06,1344,2,9017.38,0.005468831
2016/8/24,9043.13,9054.76,9016.39,9017.38,9044.64,9065.7,8870.52,8714.38,9208.85,9084.03,8959.2,-1,-2969,15587,-4,42017,-3,-1066,615.38,721.98,789,1348,4,9115.47,-0.001500399
2016/8/25,9034.47,9115.47,9031.34,9115.47,9054.49,9067.24,8877.2,8720.33,9211.48,9085.97,8960.46,2,-2967,15641,80,42097,-3,-1069,786.59,720.66,774.1,1349,1,9131.72,0.010877882
2016/8/26,9097.02,9131.72,9092.08,9131.72,9074.04,9075.58,8884.94,8726.82,9211.2,9093.33,8975.47,0,-2967,15660,35,42132,10,-1059,658.16,684.73,751.47,1350,1,9110.17,0.001782684
2016/8/29,9117.53,9136.42,9027.35,9110.17,9081.98,9079.64,8891.92,8732.95,9212.74,9094.81,8976.87,-6,-2973,15656,-1,42131,8,-1051,676.25,681.08,739.21,1352,2,9110.56,-0.002359906
2016/8/30,9113.34,9134.37,9093.87,9110.56,9092.33,9085.71,8899.17,8739.23,9214.39,9096.9,8979.4,3,-2970,15690,16,42147,6,-1045,695.83,686.44,723.92,1359,7,9068.85,4.28093E-05
2016/8/31,9122.19,9130.76,9044.5,9068.85,9092.08,9086.77,8905.47,8745.06,9210.27,9100.25,8990.23,-3,-2973,15674,-17,42130,-11,-1056,870.49,737.46,729.72,1360,1,9001.15,-0.004578204
2016/9/1,9055.73,9069.13,8980.21,9001.15,9070.24,9075.83,8909.44,8749.71,9212.75,9099.07,8985.4,-2,-2975,15621,-87,42043,12,-1044,805.69,741.28,730.97,1365,5,8987.55,-0.007465114
2016/9/2,9015.63,9038.48,8958.81,8987.55,9046.86,9062.06,8912.42,8753.85,9217.5,9093.85,8970.19,0,-2975,15580,4,42047,-61,-1105,799.36,769.52,727.13,1351,-14,9090.13,-0.001510918
2016/9/5,9032.38,9100.05,9032.38,9090.13,9052.49,9062.37,8917.38,8758.97,9211.75,9090.84,8969.92,4,-2971,15645,82,42129,-5,-1110,640.16,762.3,721.69,1345,-6,9181.85,0.011413567
2016/9/6,9102.83,9181.85,9098.6,9181.85,9082.09,9076.71,8924.72,8765.29,9216.45,9092.18,8967.9,-1,-2972,15704,94,42223,-11,-1121,764.99,776.14,731.29,1344,-1,9259.07,0.010090065
2016/9/7,9202.23,9278.88,9202.23,9259.07,9133.26,9105.6,8934.91,8773.06,9231.63,9095.11,8958.59,5,-2967,15782,57,42280,-7,-1128,930.63,788.16,762.81,1342,-2,9262.89,0.00841007
2016/9/8,9241.95,9273.57,9224.89,9262.89,9172.45,9132.01,8945.27,8780.96,9256.02,9101.66,8947.31,-2,-2969,15792,18,42298,-5,-1133,779.7,782.97,762.12,1349,7,9164.88,0.000412568
2016/9/9,9217.37,9217.37,9142.13,9164.88,9176.78,9141.72,8953.14,8787.65,9257.79,9102.39,8946.99,0,-2969,15734,-76,42222,1,-1132,674.76,758.05,763.78,1351,2,9053.69,-0.010580931
2016/9/10,9084.81,9084.81,9025.53,9053.69,9138.59,9127.26,8956.72,8792.19,9252.91,9097.65,8942.38,-5,-2974,15668,-60,42162,-22,-1154,486,727.22,744.76,1351,0,8947.06,-0.012132183
2016/9/12,9031.51,9031.51,8947.06,8947.06,9088.82,9102.18,8957.79,8795.44,9257.84,9089.48,8921.13,-5,-2979,15552,-150,42012,4,-1150,763.85,726.99,751.56,1349,-2,8940.83,-0.011777518
2016/9/13,8983.95,9014.75,8885.55,8940.83,9044.64,9075.65,8957.74,8798.1,9260.33,9080.64,8900.94,-4,-2983,15505,-74,41938,3,-1147,789.96,698.85,743.51,1340,-9,8902.3,-0.000696318
2016/9/14,8913.11,8965.32,8895.85,8902.3,9002.81,9047.19,8956.47,8800.1,9264.09,9069.63,8875.16,-1,-2984,15461,-69,41869,-5,-1152,856.71,714.26,748.61,1333,-7,9152.88,-0.004309443
2016/9/19,9003.41,9155.38,9003.41,9152.88,9028.13,9052.93,8960.48,8804.71,9272.57,9075.56,8878.55,2,-2982,15585,112,41981,-8,-1160,1001.31,779.57,768.81,1332,-1,9161.58,0.028147782
2016/9/20,9141.21,9173.46,9130.9,9161.58,9069.35,9070.91,8966.76,8810.44,9280.02,9084.55,8889.07,3,-2979,15603,9,41990,-10,-1170,694.91,821.35,774.28,1335,3,9228.5,0.00095052
2016/9/21,9141.92,9228.5,9133.16,9228.5,9107.24,9091.29,8973.85,8816.6,9297.87,9094.43,8890.98,0,-2979,15650,69,42059,-21,-1191,741.09,816.79,771.89,1331,-4,9235.26,0.007304417
2016/9/22,9265.28,9290.76,9207.41,9235.26,9154.72,9120.09,8982.89,8823.76,9314.35,9105.32,8896.29,4,-2975,15666,22,42081,-11,-1202,714.38,801.68,750.27,1335,4,9284.62,0.000732513
2016/9/23,9240.25,9284.62,9228.66,9284.62,9189.66,9145.44,8991.96,8830.96,9336.98,9113.78,8890.58,0,-2975,15701,48,42129,-8,-1210,653.59,761.05,737.66,1337,2,9194.52,0.005344733
2016/9/26,9229.34,9229.34,9189.49,9194.52,9196.66,9157.3,8999.13,8837.24,9342.79,9116.92,8891.05,-1,-2976,15677,-31,42098,-6,-1216,557.28,672.25,725.91,1333,-4,9270.9,-0.009704221
2016/9/29,9241.61,9303.13,9238.49,9270.9,9218.95,9176.62,9007.8,8844.29,9360.52,9124.95,8889.38,0,-2976,15767,134,42232,-14,-1230,899.72,713.21,767.28,1329,-4,9166.85,0.008307122
2016/9/30,9240.44,9240.65,9160.91,9166.85,9213.37,9181.27,9014.17,8850.2,9363.93,9127.77,8891.61,0,-2976,15700,-77,42155,0,-1230,746.01,714.19,765.49,1334,5,9234.2,-0.01122329
2016/10/3,9219.52,9256.58,9212.38,9234.2,9219.14,9190.25,9021.27,8856.49,9374.93,9136.04,8897.15,-1,-2977,15727,27,42182,2,-1228,555.97,682.51,742.1,1333,-1,9287.77,0.007347126
2016/10/4,9228.66,9287.77,9224.45,9287.77,9231.81,9202.42,9029.01,8863.11,9389.56,9150.37,8911.17,-8,-2985,15765,43,42225,1,-1227,620.14,675.82,718.44,1334,1,9272.28,0.005801261
2016/10/5,9260.69,9276.13,9244.41,9272.28,9242.33,9213.5,9036.69,8869.73,9397.14,9164.6,8932.07,-3,-2988,15785,23,42248,4,-1223,609.37,686.24,679.24,1335,1,9284.31,-0.001667785
