time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error
2019/8/29,10440.15,10466.99,10406.49,10462.43,10440.59,10457.23,10598.07,10565.24,10641.09,10461.69,10282.29,3.46货,-3208货,14766货,-18.8货,38230货,4.16货,-1362货,1042.49,1114.18,1153.46,1314货,5.05货
2019/8/30,10504.28,10618.05,10504.28,10618.05,10480.78,10476.12,10596.86,10565.17,10605.53,10456.01,10306.48,2.37货,-3206货,14917货,151货,38381货,19.1货,-1343货,1482.17,1190.6,1181.63,1308货,-5.68货
2019/9/2,10613.19,10634.85,10589.42,10634.85,10526.55,10501.93,10597.56,10566.04,10624.46,10460.3,10296.13,2.63货,-3203货,14936货,38.8货,38420货,16.6货,-1326货,1058.49,1168.2,1167,1315货,6.97货
2019/9/3,10629.22,10650.15,10557.03,10558.21,10550.58,10519.52,10597.59,10566.58,10635.6,10467.04,10298.48,-3.06货,-3206货,14864货,-71.9货,38348货,4.44货,-1322货,1055.77,1131.97,1151.08,1322货,6.24货
2019/9/4,10566.32,10670.43,10566.32,10657.31,10572.09,10536.9,10598.17,10567.38,10664.34,10480.17,10295.99,-1.89货,-3208货,14918货,53.7货,38402货,28.5货,-1293货,1070.93,1141.97,1147.1,1327货,5.24货
2019/9/5,10718.4,10766.6,10714.27,10756.93,10627.74,10573.65,10602.78,10570.22,10713.41,10498.7,10284,13.8货,-3195货,15101货,188货,38590货,31.6货,-1262货,1546.62,1242.8,1178.49,1317货,-9.53货
2019/9/6,10783.46,10803.07,10753.45,10780.64,10678.55,10611.2,10608.6,10573.69,10760.34,10513.01,10265.68,7765窾,-3194货,15156货,92.6货,38682货,-12.6货,-1274货,1313.07,1208.98,1199.79,1319货,1.94货
2019/9/9,10808.68,10829.44,10778.15,10801.14,10720.48,10646.32,10615.02,10577.5,10805.79,10529.45,10253.11,-2.57货,-3196货,15165货,42.8货,38725货,-16.3货,-1291货,1167.33,1230.75,1199.47,1316货,-3.27货
2019/9/10,10791.95,10810.03,10732.78,10753.58,10737.68,10669.18,10620.17,10580.72,10830.63,10549,10267.36,-6.30货,-3203货,15151货,22.7货,38748货,-5.53货,-1296货,1213.38,1262.27,1197.12,1314货,-1.43货
2019/9/11,10787.65,10815.59,10746.87,10790.35,10753.49,10690.26,10625.58,10584.1,10861.6,10567.13,10272.65,5.22货,-3197货,15176货,64.2货,38812货,-25.6货,-1322货,1199.38,1287.96,1214.96,1316货,1.72货
2019/9/12,10830.25,10862.68,10804.02,10827.55,10779.37,10715.87,10632.32,10588.18,10885.84,10592.15,10298.46,4.93货,-3192货,15204货,64.2货,38876货,-7.16货,-1329货,1208.73,1220.38,1231.59,1318货,1.78货
2019/9/16,10822.69,10898.13,10822.69,10898.13,10806.38,10742.15,10639.79,10592.68,10927.2,10616.01,10304.82,5.99货,-3186货,15264货,92.8货,38969货,-19.5货,-1348货,1195.76,1196.92,1202.95,1320货,1.70货
